ID,state
1983703917,1
432964446,0
215488935,0
1418452386,0
116697873,0
1129120345,0
449308823,1
1116734428,0
1995278795,0
43006751,1
1150095670,0
1231600038,1
1286880240,1
484434091,1
1606705004,0
830639599,0
129479569,0
2006175627,0
2075413801,1
848261977,0
1270459446,1
1367734624,1
467924168,1
474451095,1
249656798,1
77912409,0
1431274491,0
1711875152,1
1904000439,0
1590484091,0
1261215838,0
1421232459,0
765885295,1
1077966905,0
2015805550,1
981875272,1
643322991,0
995826624,0
1476469162,1
1141049435,1
1059637309,1
1256588987,0
1204364075,1
218777719,1
1808121811,1
1255359619,0
563062598,0
1950525148,1
1623658235,0
2101030044,0
83792033,1
47737132,0
1995608580,0
298118471,1
336416834,0
635099987,0
1981243751,0
478174263,0
793992160,0
1402855431,1
606548847,1
1042721916,0
339004978,0
1432219217,1
369693477,1
2095109834,0
20483177,0
1489834411,0
175982202,0
506465664,0
2036607304,0
424748063,0
1572384789,1
1113630187,1
459388649,0
543499683,0
379500387,0
1610406831,0
1354968597,0
1021500091,1
1226116496,1
2062093612,0
1532084352,1
1417030180,1
1521846174,0
591926628,1
1604488829,0
486379405,1
898213773,0
1547942675,0
2004048743,0
1232032440,0
1922265201,1
1828017512,0
256204218,0
1157356383,0
1957441369,0
753969674,1
357378930,0
1182436939,1
570326035,0
552627383,0
838314719,0
916913158,0
668979865,1
742061012,1
1614325110,0
220112971,0
1025502904,0
2032941392,1
1205329792,0
1111179364,1
123290264,0
1200534469,0
2060324083,0
82601165,0
1507974224,0
110922994,1
1648799455,1
1628778758,0
1532253022,0
768795184,0
1336557553,0
596403084,0
1708988053,0
1785332778,0
1680479447,0
545654043,0
2060287637,1
461864167,1
356488368,0
415533308,1
1339018466,0
1827710003,0
198926115,1
2106124530,0
1701165709,1
1363093593,1
1719185952,0
1273329737,1
1953616918,1
1583349186,1
376857141,0
8884345,1
2113229756,0
1993454737,0
83286311,0
1035551736,0
1883831842,0
29329796,1
8976416,1
945138477,0
990771286,0
1918270403,1
1234280213,1
1506229931,0
521500914,1
1065932044,1
1930399271,1
500687664,0
1640881983,1
1327747846,0
982138304,0
1883114223,0
957605481,0
627176944,1
1956749706,1
1191257108,1
558271194,1
1817618998,0
251685044,0
1151655770,0
81266895,0
1497673799,1
1510861054,1
74702922,1
1656699239,1
2045688640,1
1319956762,1
414066448,0
1182643679,0
1599753716,0
1311007473,0
70422166,1
402334436,0
1972469106,1
1459947854,1
1135695897,1
422612116,0
970824028,0
1355815500,0
2090180317,0
1618964759,0
1113814978,0
266050415,0
1977432402,0
828765733,1
783655261,0
451503354,0
1918986240,0
14437924,0
1741850952,0
580650690,0
2083018662,1
851920100,0
1846363378,1
158482369,1
278085536,1
1125095267,1
1705406067,1
977242234,1
1079527658,0
926015318,0
36549913,0
1147357335,1
921181187,0
771745385,0
520149319,0
880109329,0
600324930,0
1726108701,1
1803904369,0
158901766,0
528426862,1
343361034,1
856947251,1
1364181414,0
56816834,0
102363843,0
1491173195,0
876988954,0
782354667,0
1666227196,0
1329958019,0
1220194032,1
2021830206,0
162088454,1
1923132604,0
157056285,1
233019248,0
427683670,0
1956586951,1
1288683962,1
676717532,0
1157761268,1
1541034982,0
104709590,1
1059006994,0
1105480028,1
1775901720,0
1852260325,0
1610662869,1
1689413299,0
1440847460,0
1276728614,0
61506059,1
1367754947,0
479848243,0
1135141552,0
751032306,1
1524480558,0
995829280,1
1768015079,0
1292279181,1
403396268,0
2005728381,1
531629373,1
1649412036,0
1134210308,1
48494457,0
37355839,1
1293137426,0
1932447017,1
1494491680,1
641180347,1
1647385905,0
1297133809,0
567145818,1
1981648191,1
633465592,0
1484918114,1
2092245596,1
42246476,0
763624627,1
199161109,0
1769341308,0
206764662,1
935352090,0
1484205828,0
488578915,1
1567012120,1
1416510589,1
346704470,0
217211733,1
1476684485,0
1457501370,1
1603012801,0
2096440608,0
712977572,0
647443997,1
470174903,0
1297147183,1
139291310,0
1522778935,1
1305589182,0
1214412930,0
43779837,0
1782724215,0
231305796,0
403409323,0
1296060844,1
1771833964,1
561419854,0
156347728,1
911206972,1
158870804,0
1575279288,1
1599426215,0
1845273075,0
425161657,0
393662800,0
1944602482,0
1801296731,1
1642774944,0
1254002234,0
497624029,0
2004496788,1
1226235225,0
1489844191,0
1152992686,1
2084368970,0
1781038275,0
136653199,0
1460666064,0
1544187522,0
1188937839,0
2060770468,1
1904023022,1
781955384,0
1102151862,0
1260091107,1
1306359025,1
466588091,1
896788043,1
1376097157,1
1872830373,1
236908428,1
35681713,1
1774359697,1
1430342911,0
590398930,0
1096070909,0
967626005,0
234631528,0
2147380316,1
1659933846,0
1762648541,0
476561804,0
618052138,0
771275836,0
1012744036,1
2074546261,1
183749599,0
355068266,1
1540966877,0
2134495445,1
470100231,1
699446101,0
644096028,0
114884854,1
1647232067,1
1576385461,1
1723136233,0
1184355305,0
449790576,1
1322255792,0
957279407,1
1343052639,1
1433564999,0
